Lemmatized_Text,Predicted_Emotion
I always get question about block in my class and its a topic I feel pretty passionately about as a knitter and as a teacher;joy,Happy
I feel so unhappy even with it;sadnes,Happy
I need to do after much prayer consider thing like this but I still always feel a little reluctant to act but I do anyway;fear,Neutral
I feel not too terribly fond of the majority at this precise time;love,Neutral
I feel it be important to give my view regard the event which take place at general synod this last week;joy,Happy
I feel moderately handsome at the minute but as soon as I go out ill look like a twat;joy,Happy
I go into that feeling more than a little bit scared as my run training to date have be almost non existent;fear,Neutral
I walia feel suspicious about tarun and bani;fear,Neutral
I feel impatient to do a final post after four more week with tangible result so far its exciting to see how far the philips reaura can go in term of firming and smoothing;anger,Happy
I m face with the dread feeling that no it will not work and all this will have be in vain;sadness,Sad
I m already feel nostalgic about the san antonio spur golden state warrior series and it have not even end yet;love,Neutral
I just feel like I be foolish ignore warning about cell phones;sadness,Sad
I lose friend because they apparently do not like that I tell people how I feel its funny how that works;surprise,Neutral
I feel absolutely defeat socially;sadness,Sad
I wake up feel fearful and helpless;fear,Neutral
I be very fascinated by it and don t feel so uptight by the many challenge life have because of it;fear,Neutral
I always feel this way in these mood but it s still unpleasant;sadness,Sad
I feel for the genuinely shy and cautious woman at home who after reading shade think that there s something wrong with they that they do not orgasm when someone touch their boob;fear,Neutral
I feel resentful toward my wife when week go by without sex;anger,Neutral
I mean I feel that a bgr should be treasure and not dump like some people I know go steady have to find themselves dump or they dump;love,Neutral
I just get really crunk about a situation and now I feel like I have to write to calm down lol;joy,Happy
I have spend today feel horribly unhappy;sadness,Happy
I haven t see that side of he for a couple of year now that he s on some medication may be depression be genetic and that s why I feel so shitty all the time;sadness,Sad
I know ill feel shitty the whole time;sadness,Sad
I basically write this for my future self I m feel generous and think like I should just give the guy a break and list all the queries;love,Happy
I ve have a dry spell of inspiration and just this overall sense of feeling that I have lose touch with all the little thing I ve always loved;sadness,Neutral
I feel the need to be distracted;anger,Neutral
I m sure there be plenty of lovely party go on but I m not feel very sociable what s new;joy,Happy
I do not have the hatred for juice that I have last night at this time but I m not feel too fond of the veggie smell in my kitchen;love,Neutral
I feel a bit dissatisfied with my current network;anger,Neutral
I say early he be feeling ignore ever since the baby come but be now get back to normal as attention be give to he as well;sadness,Sad
I can sleep on the couch or on the floor if you be still feel shake he offer gently;fear,Neutral
I m also feel more energetic and able to keep go for a well part of the day;joy,Happy
I venture back up north and for the big day I m feel very festive;joy,Happy
I feel blessed that I be free to be me;love,Happy
I feel virtuous for a few second when I reflect that I do spend something when I go to the swimming pool work towards personal fitness yes;joy,Happy
I feel hopeful that we be already take important action to make these necessary and important change and that we will actually make an effective change and make it soon;joy,Happy
I feel lethargic I just feel blah but when I m on the diet I feel great and have so much energy;sadness,Sad
I do love my life even when its feeling too isolated;sadness,Sad
I still leave the studio feel pretty mellow and chill a perfect way to commemorate the anniversary of my training with rudy on the same weekend I graduate from the program year ago;joy,Happy
I be sit here feel pretty miserable at the moment;sadness,Sad
I feel furious about he not leaving;anger,Neutral
I feel gloomy and down;sadness,Sad
I feel a bit jealous because I been try to date he long time ago but he do not want me;anger,Neutral
I m pack up to leave the school and feel sentimental;sadness,Sad
I feel that way make I even more angry;anger,Neutral
I love the way it feel I love its permanence I love the nostalgic feeling of key under my fingertips;love,Neutral
I continue to feel this way for the next couple week until I convince myself I should just take a pregnancy test to be sure;joy,Happy
I feel so blessed to be yoke to a man so willing to work so hard to provide for us;love,Happy
I should go to sleep but I m feel reluctant to let go of the day;fear,Neutral
I m feel kind of lonely right now even though I just talk to jack sarah and a lot of my other friends;sadness,Sad
I have even a time or two find myself feel a bit jealous of the mother who have perfect baby who have be sleep through the night since they be three month old and speak in sentence by age two;anger,Neutral
I could have be coope up in a motel feeling very depressed and alone until my flight home;sadness,Sad
I do not like the original but I want rebekah to have a satisfactory ending and not to be shame for feeling and love by klaus and to some extent stefan and damon;love,Neutral
I feel honoured to own and wear this walk piece of intellectual curiosity;joy,Happy
I didn t feel terrific;joy,Happy
I feel like I may be veer into some stereotype pretty soon;joy,Happy
I m not say cut everyone out of your life but I feel its important to find comfort in solitude meditation or work on project alone;joy,Happy
I write on this space I feel quite nostalgic and my mind race back to the good old day when I use this as a daily haven to park my learning and memories;love,Neutral
I never think I d feel at peace about our tragic parting I m pleased to say that today I am;sadness,Sad
I m feel a little vain today in outfit;sadness,Sad
I feel horrible because I feel horrible make bad by the fact that I have not get to workout;sadness,Sad
I always think problem be well to deal with immediately then you can feel like thing be resolve and you can feel better;joy,Happy
I feel I feel ok and then I wake up;joy,Happy
I would still feel unhappy and sad;sadness,Happy
I be feel shake walk along the street and less able to concentrate on not have an accident while simultaneously worry about have one due to not concentrating;fear,Neutral
I have not be feel too well lately;joy,Happy
I feel agitated I become easily overwhelmed;fear,Neutral
I hang out I leave feel energized and happy;joy,Happy
I feel like prom dress this gorgeous do not exist five year ago;joy,Happy
I don t always feel smart sometimes I feel lazy and I want to be do something else that feel easier;joy,Happy
I will spend my vacation on I no obligation no headache no feeling like I be be emotional blackmail into be three place at once;sadness,Sad
I pray for love for the people that I be feel bitter towards and that they would find what be good for them;anger,Neutral
I feel so tranquil right now its great;joy,Happy
I can feel their afraid;fear,Neutral
I do feel a bit rotten;sadness,Sad
I just have not be take much action in my life rather leave it at status quo probably not a good idea but I feel that thing exist at such a delicate balance that I be afraid if I lunge for what I want the whole thing will crumble and I will be bad off than before;love,Neutral
I be make to feel rotten;sadness,Sad
I feel joy when I pass the bad phase in my life and discover how many people consider I important to them;joy,Happy
I m be reserve kind I feel so load and load and load of mood swing I be not care eh;love,Neutral
I confess I feel a little apprehensive;fear,Neutral
I ve realize over the last few month that I generally tend to feel tremendously dissatisfied after have sex with him;anger,Neutral
I have a feeling might have offend one of the dork sit in the censorship cubicle of doom;anger,Neutral
I feel like it but I can not I can not give in I be just to stubborn and I must win;anger,Neutral
I feel strange actually sit beside some people I don t know;surprise,Neutral
I wake up feel amazed and then I realize that a dream be still a dream;surprise,Neutral
I feel like support a yorkshire team you never know they could be the surprise packet of the round ha ha ha;joy,Happy
I can already feel the dull atmosphere really;sadness,Sad
I feel crappy so I don t run which make I feel more crappy and so on and so on;sadness,Sad
I feel nevertheless not convince which g be the be all and end all which sprint be create it away to be;joy,Happy
I m start to feel a bit more resolved;joy,Happy
I will probably never feel bouncy so feel free to remove that emotion from my selection;joy,Happy
I feel ashamed because I be do the very thing that the bible teach against;sadness,Sad
I start university at the age of and although it be incredibly nerve racking I feel organised and determine which be a far cry from the jess of year ago or maybe even for that matter;joy,Happy
I feel like everyone who will be care for zach in some way need to be at least slightly educate in what be ok and what be not;love,Happy
I feel it need to be respect for its own sake;joy,Happy
I be feel pretty satisfied with everything and I be eat fairly well also;joy,Happy
I have a lot of miss information about how your previous final communication go and how you feel about this guy and what you ever like about he but I will advise you to not be afraid of he in any way if you don t want to communicate far with he just tell he that;love,Neutral
I feel utterly devastate that she must go through this and do so alone;sadness,Sad
I have the distinct sickening feeling he pause glance up at kakashi and the rest of his eager audience that I m go to regret this;joy,Happy
I be start to feel emotional;sadness,Sad
I m sorry I have a really bad cold and I m feel bitchy cos I never get to go out drink myself stupid with my good friend tonight;anger,Neutral
I suggest grey and blue with warm tone as the room be north face and could feel quite cold and flat;anger,Neutral
I don t know if these child will fulfill their dream but I be happy that they as sponsor child have a well chance of do so and that instead of feel hopeless they have a vision of something beyond their life of poverty;sadness,Happy
I feel its a pathetic way to get sympathy;sadness,Sad
I feel like I be a little ungrateful but I love my home and sometimes get away be a great way to remind you how much you love the life you have;sadness,Sad
I need to feel energetic and confident;joy,Happy
I don t feel resentful I feel guilty;anger,Neutral
I go down superdrug it be usually make up or sometimes bunche of hair band or if I be feel brave some of they metal hair clip with the flower stick on;joy,Happy
I try so hard to help they see the joy in life I always feel I can help these damage and empty people and each time I fail I have to accept it as their failure not mine and I have a hard time do that;sadness,Happy
I feel so distraught and sad;fear,Neutral
I feel pathetic to report that I know about as much korean after these three month as I do italian after a three week vacation in italy;sadness,Sad
I feel damn agitated during the speech;anger,Neutral
I want to wimp out on feel outraged;anger,Neutral
I just try not to talk to anyone when I feel irritable like that;anger,Neutral
I could not be entirely satisfied because I long for a companion I could feel entirely devoted to as I be now;love,Neutral
I do not feel I be particularly talente at it;joy,Happy
I feel like I should be thrill and I be but at the same time I feel like crap;joy,Happy
I see myself start to feel the emotional dependence on my parent I stop and breathe;sadness,Sad
I feel it capture the peaceful serenity which be so relax and invite here in pine lake;joy,Happy
I m feel terrible I could not feel worse;sadness,Sad
I already have my christmas tree up I get two and be feel festive which I m sure be spur I to get start on this book;joy,Happy
no response;anger,Neutral
I think I m get the feeling that be the weird one for use dryer most of the time;surprise,Neutral
I hate feel pressured into have to carry on conversation because if I do not it would just end up with the two of we breathe at each other until our receiver get all steamy;fear,Neutral
I be completely naked and feel horny;love,Neutral
I m lie in bed write this feeling exceptionally smug about the fact I ve get two more day off cos I ve get lot of lovely plans;joy,Happy
I like to slump into when I m feel precious;joy,Happy
I just do not feel like I really get to know he which I feel be why I m so unsure of his character;fear,Neutral
I be so sick of feel worthless and useless and miserable;sadness,Sad
I feel emotional about how people have treat I over the last few month and years;sadness,Sad
I feel afraid just before receive the question paper of the part ii exam;fear,Neutral
I just go into these mode where I want to write then feel disgusted and do not what to write at all;anger,Neutral
I feel like god poope on I laugh amp then walk away throw a casual yeah;joy,Happy
I be feel grouchy and upset about a situation with a girl which wasn t go how I d hoped;anger,Neutral
I feel as though the art of the romantic comedy have deteriorate as of late and I be draw to movie like sabrina notte hill and love actually;love,Neutral
I be so sorry you be feel so sad;sadness,Sad
I feel all numb;sadness,Sad
I feel equally wronged;anger,Neutral
I have a feeling I shall go mad;ang,Neutral
I even pick out beautiful pearly look snap and be soft and comfy feel like care for myself;love,Neutral
I feel a bit optimistic some days;joy,Happy
I feel quite frustrated;anger,Neutral
I feel pain or ache in can stop;sadness,Sad
I m feel stressed and tired and after that flight I really do not want to get on another one;sadness,Sad
I have be feel grumpy for the past few day and I just do not feel like be my upbeat self here on my blog;anger,Neutral
I make an effort to ask jason s friend question and include they in the conversation and it make I feel like a considerate person a feeling I don t get often;love,Neutral
I never feel that popular;joy,Happy
I feel and I be keen to come to china and experience life in a new country;joy,Happy
I be feel regretful that I make contact with someone with whom I need to keep distance;sadness,Sad
I feel so weird not say goodnight to mike;surprise,Neutral
I m feel adventurous and my laundry hamper;joy,Happy
I falter and blurt out something that offend you please understand that I be still learn and I will probably feel as foolish as I just sounded;sadness,Sad
I feel a pang every time I read an amazing canadian literary magazine for instance that I d love to submit to only to see I m on the do not enter list;joy,Happy
when I be year old my father travel very much for his work he pass three month away from home;sadness,Happy
I feel I be quite mad;ang,Neutral
I ve have a change in medication and be feel productive lately so let see how this go shall we;joy,Happy
I feel so cranky and disconnected;anger,Neutral
I hope I be not like that and I feel inspire by the prestige of others;joy,Happy
I feel the near and lively presence of the well love past;joy,Happy
I be feel irate;anger,Neutral
I be feel delicate after hogmanay if that s what you be thinking;love,Neutral
I often feel dull and empty inside like I m nothing more than a study machine and yeah I do give myself breaks;sadness,Sad
I feel horrible for make everyone else so worried;sadness,Sad
I get to feel something so amazing and powerful that make I feel an incredible sense of happiness and contentment that I do not believe existed;joy,Happy
I feel devastated right now;sadness,Sad
I ve be feel a bit nostalgic ever since I go through a box of my dad old picture for a post I do for a href http mysalvagedtreasures;love,Neutral
I feel as if it be a way of distract I from my positive thought and I have to work really hard to switch my thought around today but I do it;joy,Happy
I feel lonely so unbearably crushingly lonely you be not the only one a href http creativeliar;sadness,Sad
I always feel a bit naughty on mondays;love,Neutral
I feel like I have a headcold and I m groggy and even more exhausted today;sadness,Sad
I m feel passionate about in my own home;joy,Happy
I m feel so morose;sadness,Sad
I have a feeling my mom will not be so keen on that idea;joy,Happy
I don t even think that I should feel ashamed because then I would be deny my true self;sadness,Sad
I feel assured that it be the right answer;joy,Happy
I also mention marriage live in that he also feel the wrong I but at home so high the price be scary an ordinary rural family really difficult to afford the high price of the house;anger,Neutral
I who you can not help but feel sympathetic towards be a bit of a geek;love,Neutral
I be feel bad over it with every pass minute;sadness,Sad
I probably miss you too much jongwoon tease but ryeowook doesn t have to hear he say it to know it s truth feel it in his kiss the gentle touch up his spine warm breath ghost over his ear;love,Neutral
I spend time date or attempt to date only to end up feel confused;fear,Neutral
I feel a little bit chukey and unfortunately for we you like to sing all the inapporpriate word to fergie s glamorous;joy,Happy
I just busy myself with other stuff but never with blog or thread that will only make I feel miserable;sadness,Sad
I just feel resentful and show my resentment by eat tempura and sundaes;anger,Neutral
I definitely know how it feel to think that whoever your belove be with do not deserve them;love,Neutral
I be kinda lay on my disappear arm play on the computer then I get up to turn eat dinner but on the way adjective of a sudden this wierd feeling in my collar chest feel like a bounce of electricity shock I or something then my left paw;surprise,Neutral
I feel kind of dumb for say this but I be just upset at how much strength I lose during the last few months;sadness,Sad
I be start to feel a bit insult by this stranger;anger,Neutral
I have to work in one I would not feel quite so affectionate;love,Neutral
I be leave feel embarrassed stupid but I be on a mission to fuel up with coffee be this an excuse;sadness,Sad
I be feel incredibly stress out about not get everything done not have the right clothe stuff like that;sadness,Sad
I have a feeling you be be sarcastic but ivspirit a href http translatethis;anger,Neutral
I really appreciate this even think I m not christian any type of prayer be welcome and I d be feel so lost and so out of it;sadness,Happy
I feel privileged to be there at this very real and intense time;joy,Happy
I feel good before the race but once I start to run I guess I be feel the effect of the cold and congestion I do not really realize I still had;anger,Neutral
I m feel a bit jaded;sadness,Sad
I m feel about as horny as a dead goat;love,Neutral
I feel amazed I can compress my difficulty so neatly into one sentence;surprise,Neutral
I enjoy exercise feeling and look fantastic amd love have so much more energy;joy,Happy
I don t understand why musician sometimes feel inhibited;fear,Neutral
I be feel very fearful that thing be not go to go the way I want they to with my ex;fear,Neutral
I do think we have a decent scheme work out which will be generous enough to provide the average player with plenty of free experience without force they to feel crappy and that they have to pay to get an enjoyable game;sadness,Happy
I have a lovely nesty feeling after look at all that cute teeny weeny clothing;joy,Happy
I feel like my house be constantly dirty because I truly hate clean especially when I m tired;sadness,Sad
I feel so horrible when I be not accomplish something;sadness,Sad
I m feel a bit resentful towards all you australian who watch our modern family grey anatomy and glee;anger,Neutral
I do at time feel complacent with my life as is;joy,Happy
I do my good but it feel uncomfortable;fear,Neutral
I be feel a little bouncy right now;joy,Happy
I ve live my life try so hard to be accept and to feel loved;love,Neutral
I want to get up in the morning feel excited about go to work instead of want to hit the snooze button;joy,Happy
I open the first window whilst listen to a certain mariah carey christmas classic on the radio so I m feel pretty festive this morning;joy,Happy
I do love the invert suspension though its the only one that make I feel graceful and elegant and sexy;joy,Happy
I feel confused after that;fear,Neutral
I ve see how mean other kid and adult can be to a child who do not fit into the norm and no way be I go to label he so he could be make to feel he be anything other than amazing;surprise,Neutral
I read say to start kick count after week since movement be not very consistent or reliable before then but I have be feel fairly strong movement and kick towards the outside so when it change I do not know if it be normal or not;joy,Happy
I be a passionate obama supporter but as a woman I feel twinge of guilt at time about the fact that I be not support the first woman with a real shot at the presidency;love,Happy
I do feel very successful right now;joy,Happy
I feel like they just feel guilty for treat I badly and I do not really want to go back as I will not get on the league proper anyway due to my inability to make every practice and service hour despite be a very good skater and have a good attitude toward the practice I can make;sadness,Happy
I be just wonder if that be common and why some girl feel the need to seem less intelligent than they really are;joy,Happy
I have not read any of the book but I feel sure that there be one man in the moon at least if not more;joy,Happy
I could only feel this relax all the time;joy,Happy
I d feel triumphant or something;joy,Happy
I choose not to use weaving in this piece I feel like it go well within the collection of my other piece that I have make this semester because of its similar shape and materials;joy,Happy
I wound up with something lodge in my oesophagus which didn t feel pleasant to put it lightly;joy,Happy
I have immense sympathy with the general point but as a possible proto writer try to find time to write in the corner of life and with no sign of an agent let alone a publishing contract this feel a little precious;joy,Happy
I feel like be getting marry again it be so romantic and fun;love,Neutral
I feel so alone and I m just go out of my mind;sadness,Sad
I feel uglier and more strange deformed and awkward look than I have already felt;fear,Neutral
I feel helpless about it;sadness,Sad
I feel it in every cell of my be god really really love he intensely and be be faithful in fulfil all his promise to he to we as he be also do for you and yours;love,Neutral
I get the feeling that the relationship would be more sarcastic than sweet or sure;anger,Neutral
I imagine how would it feel to hold you nothing perverse just to know you to feel the heat of your breathe move through I your foot tangle with mine;sadness,Happy
I ve just be tell that I should feel more remorseful about the whole thing and that I should hang my head low for a long while because I m pond scum;sadness,Sad
I hate see those red window even more as what I feel inside resonate with the cold uncaring world I know exist behind they make I even more aware of this pain inside of me;anger,Neutral
I be home again and feel somewhat the dull girl not sure at all what real life be like anymore after such a short time away amazing how quickly a brain can go on vacation;sadness,Sad
I be a bit too nervous to focus on the face and the feeling be not unpleasant I want to put in a joke to start with especially since it involve the key note speaker and I think it be funny;sadness,Neutral
I go blonde I be feel adventurous and a little lose in who I be as a person;joy,Happy
I know that I should not have run around with his dirty sock on a stick like a flag for our friend to see no matter how angry or hurt I be feel about the dirty laundry that he leave me;sadness,Sad
I be think about how you all be watch general conference and I be feel a bit jealous;anger,Neutral
I feel submissive in front of sexy girls;sadness,Sad
I do feel pressure to provide my faithful reader with a mock draft I ve decide to go forth promise to emphasise speculation rather than educate mock over draft;love,Neutral
I ve try and try and every single person I hang out with I just feel like everything about it be fake;sadness,Sad
I m not too jazz about the first image but even before I have finish this one I be already feel proud;joy,Happy
I say it when I m stress feel bitchy when I m slack in the toilet or when I feel constipated;anger,Neutral
I feel someone have be wrong when I feel I have be wrong or when I get rile up against an action I find offensive I unsheathe my sword and good lord you well look out;anger,Neutral
I feel he be sincere and repentant for his past opposition to civil rights;joy,Happy
I no long feel depressed and be not mad or haven t yet a href http www;sadness,Sad
I feel that we be head for an abyss that have be create by the greedy the too greedy and the far too greedy;anger,Neutral
I remember feel acutely distressed for a few days;fear,Neutral
I have it in the bag because I be still feel strong;joy,Happy
I have state to she the reason I feel so fearful be because I feel unsafe;fear,Neutral
I be miss some very important information or anything please feel free to post comment below because even though I have be interested in the style for year I have only be wear the style and officially in the community for about a year and a half;joy,Happy
I remember that beauty truly be in the eye of the beholder people see the beautiful compliment as a statement of how valuable they find that person and people don t want to kick someone when they be feel vulnerable;fear,Neutral
I feel as if I be completely worthless;sadness,Sad
I remember the very first day of feel lousy year ago and how I believe my body be betray me;sadness,Sad
I be on this track I feel good thing coming;joy,Happy
I m ready to start my shot again that two and a half week off just fly and I m feel miserable about it the thought that these peep will be help I through it make it a bearable experience to the point where when this whole thing be do and dust I will actually miss they all;sadness,Happy
I feel so dirty;sadness,Sad
I love to add just a little milk and when I m feel especially naughty a splash of caramel and vanilla syrup but shhh;love,Neutral
I have cross over and I be on safe footing yet still feel this way fearful for the unknown shaky uncertain;fear,Neutral
I just finish a long day of work and be feel a bit sentimental and its be a few week so I think I d get on here and write a few words;sadness,Sad
I feel this perverse pleasure in know how be so much the opposite of everything you re suppose to do;sadness,Sad
I prep myself for another sleepless night I can t help but feel ashamed of myself for feel this way;sadness,Sad
I feel a longing for the obsession;love,Neutral
I feel fake hellip b c a real person can feel real emotion and that s something that I can t do;sadness,Sad
I feel angered and firey;anger,Neutral
I do not want to accept that it s inevitable that we all become grumpy old man and woman as we age and I do not want to accept that feeling irritated and annoy by trivial little thing be normal;anger,Neutral
I m feel so jade right now;sadness,Sad
I m then leave feel quite embarrassed as I say that nothing new;sadness,Sad
I still feel I have a very long way to go before I can call myself a joyful homemaker;joy,Happy
I feel with the capacity of a producer and an actor someone like david would be far more accept when he come onscreen and show box in a different light;joy,Happy
I sit here to write I start to dig out my feeling and I think that I be afraid to accept the possibility that he might not make it;fear,Neutral
I remember feel very very violent and very disgusted the oscar winner tell access hollywood;anger,Neutral
I feel like my life be not move smoothly I immediately look around amp see if I can be at service while focus on give and support others;joy,Happy
I don t know I just have this gut feeling and it just really bother I he said;anger,Neutral
I don t know about you but I m feel pretty punish myself right about now;sadness,Sad
I be feel overwhelmed by daily responsibility by expectation of my family and job by the demand on my time by my physical tiredness by the feeling that my burden will overtake I by financial hardship by;surprise,Neutral
I feel like I only get mad if I think someone do something that s really unjust;anger,Neutral
I be say that I be feel helpless now that I have to walk on toes;fear,Neutral
I be grateful for each and every one but it still make I feel funny;surprise,Neutral
I have be in dublin I could not be more grateful for this class as it have allow I to work with people in need but also allow I to feel accept and immerse in the city;love,Happy
I feel so honored that they enjoy it enough to create with it;joy,Happy
I feel like someone be be judge harshly not accept or ask to be something they be not;love,Neutral
I love feel like I be truly make a difference in student live although sometimes I be unsure;fear,Neutral
I feel be a valuable reason be the alone time that debra and I have drive to woodston camp kansas assembly of god family camp;joy,Happy
I feel like at the moment with all the thing to do and worry about and organise and because he be so supportive I have let myself forget to give he the attention he deserves;love,Neutral
I find myself feel jealous though;anger,Neutral
I be full of feel not empty;sadness,Sad
I feel like I have have a sweet tooth this week;love,Neutral
I have just have such a crappy week that I be still feel all agitated and like the day wasn t what I wanted;fear,Neutral
I m feel festive;joy,Happy
I feel like it s boring;sadness,Sad
I be thirteen again and so so unsure of himself and unsure of how he feel about shishido as his senpai although he s always admire him;love,Neutral
I really have get to a place where if I go for more than a day or two without write I begin to feel very anxious very displaced;fear,Neutral
I be feel a lot of self pride that I be support we all as peter go back to school all our bill be getting pay on time and I be actually plan a summer vacation trip with my kid to this;love,Happy
I fear I would feel resentful of she or this process but I do not and I be so happy about that;anger,Neutral
I feel I would have to answer would be about support understand people with difference disability because I ve do it in one way or another for so long;love,Neutral
I ve move to northern saskatchewan I feel truly victimized;sadness,Sad
I be slice a knife through a creamy cheesecake and I could imagine exactly how it would feel in my eager mouth;joy,Happy
I bring my bomber in that way but I don t feel like get our little convoy of hauler through that as well;joy,Happy
I feel intimidate by these colleague of mine;fear,Neutral
I feel too much but I don t care no I don t careeeeee I don t care by savage garden your three plan for tomorrow;anger,Neutral
I feel so bouncy and happy;joy,Happy
I feel fool play and now relieved;joy,Happy
I get close to feel what that be like be through dance which be put music and motion together in a similarly creative way;joy,Happy
I be look forward to it unless I feel out of place though I have be assure I will fit in;joy,Happy
I feel any artist that put forth a piece of work even one I do not agree with should be respect even if it s just for the sake of they overcome the shackle of our society s norms;joy,Happy
I can legitimately offer to anyone in the program somehow I feel they would be less than impress by adrasteius and eulalias adventure tho I submit that they be fan freak tastic;surprise,Neutral
I should somehow feel hesitant about that;fear,Neutral
I feel a little weepy over the fact that my baby be no long a baby;sadness,Sad
I m feel generous its easy when you re give away other peep stuff if after you vote you visit the a href http www;love,Happy
I feel drop of sweat break out on my forehead and I contemplate do anything take anything take everything to cool the reactor;joy,Happy
I dance the more I feel joy the more generous I become with myself the more I live in the present the more I let myself off the trauma hook the less important the past becomes;joy,Happy
I be feel angry at myself for feel self conscious about my short or for wish that I be not alone;anger,Neutral
I m not one of those people who can bury all their feeling and anger just in a second giving out a sweet smile even when in pain and anger;love,Neutral
I come out of there feel so abused;sadness,Sad
I get old I desire to find creative way to continue to be a dancer because I feel like the time when the body stop react and respond to dance be the time when the artistic level be hone in a really great way;joy,Happy
I feel skeptical now;fear,Neutral
I receive the good news in joy like the magi or do I feel threaten by god message like herod;fear,Neutral
I m feel artistic and I m feel stellar;joy,Happy
I feel an honor of my content be there;joy,Happy
I be lure into the idea of the event with the promise of free champagne you know I and a brilliant talk by bestselle author kathy lette but leave feel genuinely inspire and empowered;joy,Happy
I feel like if there be pickle in the fridge everything will be ok;joy,Happy
I just love how when she get that one on one time with I she feel to loved;love,Neutral
I may notice that you feel aggravated or joyful or whatever it be that you re feeling;anger,Neutral
I feel a little more relaxed;joy,Happy
I hate chemo and the thought of have toxin wash through every single cell and make I feel horrible make I cringe;sadness,Sad
I ask you when folk park why do they feel it be smart to park with only or inch separate your car from the one in front or behind you;joy,Happy
I sign the petition and know that it will be serve in the next few day have leave I feel vulnerable as I be unsure about his reaction;fear,Neutral
I feel quite reassure but the jurys verdict be not in yet;joy,Happy
I be feel more appreciative;joy,Happy
I wish I could help take the pain and anguish these family must be feel innocent child kill while in school where they should be safe;joy,Happy
I still can t get over the fact that I feel absolutely fine;joy,Happy
I will not feel sorry for leave you behind;sadness,Sad
I feel shame on the dirty party it should be a fair fight when we let foreign worker decide for our future and the international know it sorry but malaysia will be like those third world country soon;sadness,Sad
I m feel a little apprehensive about it because I feel like I m suddenly way too old compare to my mental age of about;fear,Neutral
I feel like I don t have anything to say that be worthwhile to other and I don t want to bother people with my worthless thoughts;joy,Happy
I be constantly overwhelm by the feeling that I be not smart enough not pretty enough not nice enough not talente enough and bad of all that I be not do enough to make any of these thing better;joy,Happy
I start feel dazed;surprise,Neutral
I can not help but feel that if I have not have be so selfish then I could have shelter you from feel this way now;anger,Neutral
I feel like I be as fearful now as I be when I first throw my leg over the top tube after my surgery;fear,Neutral
I feel stupid typing that;sadness,Sad
I feel like I be really grouchy and some day I get in mood where I feel like it be I against the world;anger,Neutral
I ve be feel terrific recently because I have the world good friend around I who make I feel be;joy,Happy
I feel that nolean probably lack a lot of the diy art and music stuff that I d go sorta neurotic wihtout;fear,Neutral
I feel I be suffer from a bad case of I only want to nap;sadness,Sad
I feel way more myself now than ever before and the cool thing be that mom actually think I m adorable;joy,Happy
I do not know what it be but I have be feel less paranoid;fear,Neutral
I didn t feel relieved;joy,Happy
I be on the phone with tech support today and it turn out I have something in common with the guy on the phone we both have thought and feeling be be curious about this world;surprise,Neutral
I feel pretty can you spot my son;joy,Happy
I m feel distracted I tend to practice with my eye shut as much as possible;anger,Neutral
I get a little bit of help from my brother at the beginning and lot of luck near the end of the game which might make you feel dumb at least it do that to I hahaha and at the end you have to decide nikos and the world fate to save niko or to save the world;sadness,Happy
I need to feel the dough to make sure its just perfect;joy,Happy
I m not feel real strong lately;joy,Happy
I feel a little disheartened with like I m make an effort and get nothing in return;sadness,Sad
I manage km in one go once feel really exhausted afterwards but I survived;sadness,Sad
I feel that at show and around show horse people be trust and relaxed because most show horse be safe and quiet and be handle frequently;joy,Happy
I do not do these thing to torture you I be feeling torture myself at the moment;anger,Neutral
I be feel pretty worthless right now;sadness,Sad
I see but I feel confused by all about you lately;fear,Neutral
I think have a well respected and recognize mother of autistic boy would be the perfect guest blogger with a message I feel passionate about;love,Happy
I feel so blessed that god have give I the wisdom to train they in how to help and be a part of our household;love,Happy
I feel sad for you and I because I know how much we will miss the entire powell clan;sadness,Sad
I just hate feel leave out and I wanna be a cool kid even though I hate the cool kids;joy,Happy
I have a wonderful mother in law who have in every way have be like a mother to I for year more often than not I end up feel a bit melancholy on mother s day;sadness,Sad
I often find my self feeling offend myself when I hear people who I believe to be otherwise brilliant people follow what I consider odd superstition and strange rituals;anger,Neutral
I be feel adventurous and after I get a little well aim the direction of the drip I want to try to make something like this;joy,Happy
I be wait an hour after strength training and I would feel really listless after a while;sadness,Sad
I can t say it s make I feel any less depressed anxious but mingle in with the depression be a certainty that I can get to the other side if I keep put one foot in front of the other;sadness,Sad
I grit my tooth shake my head and spend the next minute feel irritated;anger,Neutral
I feel like I ought to be work on casual activism but that construe something that be potentially stressful so there will not be any update tomorrow;joy,Happy
I wake up monday feeling like crap and blame it on the weather;sadness,Sad
I feel totally confident that I could get a job at google;joy,Happy
I know ken have this down but I m feel really inadequate what be I do wrong;sadness,Sad
I start feel shaky hungry;fear,Neutral
I sympathize with this person but I also feel a bit skeptical the theme be loss because everyone looses;fear,Neutral
I get a bit catch up in the moment and forget that at the core of the rude comment and silly song be the real feeling of a beloved and brilliant comic actor and a very sweet and big hearted young woman;joy,Neutral
I like take cold shower I get out feel invigorated and ready to roll;joy,Happy
I could vocalize my feeling here I would put in a sarcastic great;anger,Neutral
I have find if I can make time for quiet reflection or even just pause in the chaos I can feel god s peace and his gentle comfort;love,Neutral
I feel like an ungrateful bitch because of what I make you see;sadness,Sad
